product,date,title,rating,body,helpful_count
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",24/01/2024,"4.0 out of 5 stars
Great product",4.0,"I've been struggling with breakouts for a long time and ever since I've been sticking to my skin routine, I only get a lil breakout when my sister comes by every month(feels like she's been doing this all my life :)).It's a really good face wash and gets rid of dirt and oils. Just moisturize afterYou should let it stay on for the time as directed for best results",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",21/02/2024,"4.0 out of 5 stars
It's okay",4.0,I like it because it was cheaper at the time I thought I needed it. I did use it a couple times but it was not what I wanted.,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",11/02/2024,"4.0 out of 5 stars
It does as advertised.",4.0,Cleans face and  leaves skin feeling nice,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",08/02/2024,"4.0 out of 5 stars
Great as a gentle cleanser",4.0,Recommended by my derm for my morning wash. Wouldn't expect much out of this product in terms of cleaning but is great to wake up the skin!,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",24/12/2023,"4.0 out of 5 stars
Moisturizing Cleaning",4.0,"I began using this cleanser in the fall and have been very pleased with the way it leaves my face smooth and without dryness. The only problem is that washing doesn’t always remove all of my foundation when using my hands to rub my face. I suppose I could use a cloth to scrub my face, but I’m in my mid 70s and that seems harsh for aging skin. But I’ve just ordered an oil cleanser to use first to remove a layer of makeup without stripping my skin and then wash it with CeraVe.",2
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",26/01/2024,"4.0 out of 5 stars
Good Cleaner",4.0,"This is a good product for sensitive skin and gives you some moisturizer. After washing my face, I use this product and a moisturizer.",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",02/02/2024,"4.0 out of 5 stars
Recommended by my dermatologist",4.0,"I like this facial cleanser, but it can be a little drying. I use a CeraVe daily moisturizer after washing.",0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",08/12/2023,"4.0 out of 5 stars
Helps my seb-derm",4.0,"I got this as it was recommended for seb derm and I'm tired of the flaking and itching. I haven't used it every day or regularly as I should, but it helps when I use it even just once. It kills the itch a bit and makes me feel clean and fresh faced. It's not super moisturizing as I feel pretty dry after I use it but I can't complain too much. Many moisturizers can make the flaking worse.I wish it lathered up a little but I know that lathering means next to nothing when it comes to most soaps, so it's not a big deal. Smell is very light to unnoticeable and doesn't linger so that's nice too. For the price, can't beat it!",12
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",05/02/2024,"4.0 out of 5 stars
Gentle",4.0,Gentle on my sensitive skin,0
"Amazon.com: Customer reviews: CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",16/01/2024,"4.0 out of 5 stars
Me gusta",4.0,"Es bueno, pero la consistencia lo siento muy fluido, hasta parece que no me hubiese aplicado nadaPero sé que tiene beneficios contra la piel seca",0
